academic_freq,non_academic_freq,phrase,ratio
474,8,english phrase,59.25
1439,935,lecture,1.53903743315508
302,2,conversational speech,151.0
2049,1100,functionality,1.862727272727273
3,1,space concept,3.0
3759,511,terminology,7.356164383561643
43,1,analogical reasoning,43.0
46,9,purview,5.111111111111111
17,1,object component,17.0
6,2,coherent account,3.0
520,2,character word,260.0
1821,5,tag set,364.2
3,1,level decision making,3.0
55,3,keynote speaker,18.33333333333333
612,1,optimality,612.0
36,7,video sequence,5.142857142857143
310,1,translation method,310.0
10,4,useful framework,2.5
50,28,application development,1.785714285714286
11,1,high level abstraction,11.0
9,1,high quality research,9.0
80,4,such publication,20.0
354,47,interjection,7.531914893617022
464,47,data mining,9.872340425531915
658,3,mit press,219.3333333333333
2,1,washington state university,2.0
15,4,game score,3.75
3,2,lumpectomy,1.5
4,2,psychological discussion,2.0
73265,12115,figure,6.047461824184895
931,2,probability model,465.5
164,99,cohesiveness,1.656565656565657
50,1,english wikipedia article,50.0
101,3,standard system,33.66666666666666
296,26,basic model,11.38461538461539
23,4,fourth quarter,5.75
615,7,optimal solution,87.85714285714286
131,2,tnf,65.5
44,1,context evaluation,44.0
65,17,readable text,3.823529411764706
863,5,possible value,172.6
30,1,keynote talk,30.0
142,4,modal logic,35.5
893,4,broadcast news,223.25
2552,1,feature space,2552.0
42,1,standard sequence,42.0
98,5,discussion section,19.6
148,15,second feature,9.866666666666667
58,23,difficult issue,2.521739130434783
47,1,diagnostic evaluation,47.0
249,1,data representation,249.0
23,8,computer science course,2.875
1987,807,micro,2.462205700123916
50,5,intuitive sense,10.0
5154,29,total number,177.7241379310345
11,2,israeli perspective,5.5
2073,7,dynamic programming,296.1428571428572
200,5,cambridge university press,40.0
206,5,hindi word,41.2
61,1,lexical analyzer,61.0
6,1,adequate text,6.0
33,1,negligible effect,33.0
49,2,quality word,24.5
411,50,directive,8.22
24,3,basic probability,8.0
558,3,spanning tree,186.0
10,1,educational technology,10.0
251,6,correct interpretation,41.83333333333334
14,1,testing methodology,14.0
3858,276,integration,13.97826086956522
1540,46,regularity,33.47826086956522
5,2,astronautics,2.5
152,1,same discourse,152.0
29,1,document part,29.0
153,2,data stream,76.5
18184,2358,interpretation,7.711620016963528
56730,6510,function,8.714285714285714
124,5,appropriate context,24.8
163,4,analysis process,40.75
78,2,multimedia content,39.0
26,2,action function,13.0
80,2,complexity analysis,40.0
31,1,seed model,31.0
154,1,random initialization,154.0
355,1,transliteration system,355.0
65,3,redefinition,21.66666666666667
534,7,level model,76.28571428571429
214,2,system user,107.0
25,2,root type,12.5
236,2,review editor,118.0
86,3,computer science department,28.66666666666667
6927,11,error rate,629.7272727272727
198,2,homomorphism,99.0
4,1,descriptive vocabulary,4.0
14,1,time method,14.0
2120,15,metadata,141.3333333333333
138,1,peking university,138.0
103,4,triage,25.75
6,1,wienke,6.0
29274,3124,chinese,9.370678617157491
238,6,individual component,39.66666666666666
5783,1832,meeting,3.156659388646288
58812,8411,learning,6.99227202472952
338,32,real world application,10.5625
49,11,relevant example,4.454545454545454
18,2,relationship information,9.0
145,1,probabilistic method,145.0
187,62,kip,3.016129032258065
463,19,tanaka,24.36842105263158
3,1,use web interface,3.0
74,6,thai language,12.33333333333333
10,1,sort algorithm,10.0
36,1,new nlp,36.0
3539,109,single word,32.46788990825688
1527,8,logistic regression,190.875
191,20,standard text,9.55
2556,1334,robot,1.916041979010495
719,1,recognition error,719.0
92,13,social context,7.076923076923077
10580,39,modifier,271.2820512820513
25,3,speaker level,8.333333333333334
85,39,medical information,2.179487179487179
36,4,script language,9.0
176,2,gst,88.0
108,6,intentionality,18.0
133,2,case system,66.5
134,1,phylogeny,134.0
1313,2,pagerank,656.5
9,1,phrase lookup,9.0
12,7,extra element,1.714285714285714
60,5,initial question,12.0
46,1,tilburg university,46.0
1494,226,validity,6.610619469026549
30,7,output device,4.285714285714286
503,15,root word,33.53333333333333
26073,4983,position,5.232390126429862
4,1,arbitrary example,4.0
718,24,different context,29.91666666666667
91,3,recursive definition,30.33333333333333
10,2,design space,5.0
74,1,simple dictionary,74.0
14475,387,syntax,37.4031007751938
869,18,generalisation,48.27777777777778
56,4,content quality,14.0
148,6,large document,24.66666666666667
173,1,large sample,173.0
8290,77,feature set,107.6623376623377
40,1,phonetic information,40.0
11,2,croatian language,5.5
8,3,particular subject matter,2.666666666666667
430,1,transition system,430.0
69,4,reification,17.25
110,1,event information,110.0
54,1,negative adjective,54.0
74,4,online text,18.5
41,1,convergence criterion,41.0
91,1,shirai,91.0
84,1,phonemic transcription,84.0
2,1,explorer version,2.0
14,3,interpersonal interaction,4.666666666666667
454,1,available data,454.0
123,1,document text,123.0
40,19,encapsulation,2.105263157894737
160,7,similar example,22.85714285714286
585,10,alternative approach,58.5
33,7,appropriate description,4.714285714285714
44,5,common object,8.8
9,3,player position,3.0
202,55,software engineering,3.672727272727273
197,94,first paragraph,2.095744680851064
271,1,language user,271.0
22,2,audio processing,11.0
126,5,control group,25.2
684,7,semantic web,97.71428571428571
17,1,intelligence series,17.0
12,2,conceptual point,6.0
