academic_freq,non_academic_freq,phrase,ratio
44,12,clinical information,3.666666666666667
119,2,human operator,59.5
13,7,usable tool,1.857142857142857
236,1,nlp technology,236.0
5,2,astronautics,2.5
30,1,final letter,30.0
320,4,negative value,80.0
11,2,croatian language,5.5
42,6,collation,7.0
2460,2,computes,1230.0
2654,2,ilp,1327.0
6,1,house description,6.0
4,1,user acceptance testing,4.0
76,2,document size,38.0
699,2,data size,349.5
11,2,israeli perspective,5.5
125,2,text theory,62.5
332,2,preprocessor,166.0
105,3,english portion,35.0
185,1,system com,185.0
87,14,student writing,6.214285714285714
72,2,annual conference,36.0
5,1,modeling case,5.0
162,40,short description,4.05
362,123,singapore,2.943089430894309
369,1,winograd,369.0
42,5,particular method,8.4
4,1,espectador,4.0
61,1,abbreviation list,61.0
2,1,perugia,2.0
461,1,covariance,461.0
24,6,whole question,4.0
197,1,tensor product,197.0
2,1,customary practice,2.0
49,2,conceptual content,24.5
473,4,ict,118.25
12,3,linux operating system,4.0
9,1,metaphorical reading,9.0
170,14,standard english,12.14285714285714
761,358,first set,2.125698324022346
162,97,new user,1.670103092783505
241,73,blackboard,3.301369863013699
12,3,particular effect,4.0
74,1,appropriate model,74.0
381,2,google translate,190.5
31,1,possible performance,31.0
22,1,goal statement,22.0
24,10,internationalization,2.4
5,1,effect knowledge,5.0
37,2,initial text,18.5
127,9,example set,14.11111111111111
33,1,plain text format,33.0
2,1,factual level,2.0
30,1,sequence number,30.0
8,1,example syntax,8.0
36,16,reference type,2.25
788,1,causal relation,788.0
10,1,deductive process,10.0
21827,3,dataset,7275.666666666667
7,2,theoretical value,3.5
31,1,correct resolution,31.0
93,1,xiang,93.0
4975,544,reasoning,9.145220588235293
32,7,speed increase,4.571428571428571
51,4,appropriate category,12.75
50,10,west germany,5.0
249,1,data representation,249.0
5,1,normal definition,5.0
469,7,first task,67.0
32,7,typographic error,4.571428571428571
13415,1557,vocabulary,8.615928066795119
313,8,straightforward way,39.125
752,1,cue word,752.0
5,3,child example,1.666666666666667
26868,16454,description,1.632916008265467
188,3,testing phase,62.66666666666666
5,1,web service architecture,5.0
139,2,case analysis,69.5
428,32,text file,13.375
279,1,source node,279.0
298,1,underlying form,298.0
10,1,xslt stylesheets,10.0
54,28,oxford university press,1.928571428571429
38,1,handshape,38.0
135,2,benchmark data,67.5
