freq_beautiful,freq_coca_general,freq_acl,cos_target,euclidean_distance,posMASC,is_problematic,word_length,count_vowel,y,posMASC_le
119294241,59036,8232,0.6709901094436646,4.435492038726807,NN,0,5,2,0,3
58338630,63691,22086,0.6688961386680603,4.161988258361816,JJ,0,11,4,1,0
343057316,331597,2866,0.5677486422354151,5.565603519021272,NN,0,6,2,1,3
1890300,2256,1,0.36353766918182373,6.31618595123291,NN,0,9,2,0,3
77375075,43531,2551,0.5182386636734009,5.619976997375488,NN,0,3,1,1,3
36697856,109839,5144,0.6309154033660889,4.689235210418701,VB,0,5,2,1,8
0,13472,0,0.42710086703300476,6.8200531005859375,JJ,0,7,4,0,0
38778191,42625,102,0.5049464106559753,6.456842422485352,NN,0,8,3,1,3
273620358,155604,26585,0.7769207954406738,3.297654628753662,NN,0,5,1,1,3
107853068,47148,8994,0.4919731318950653,4.474218845367432,VBD,0,5,2,0,9
451092583,834997,15591,0.6951678395271301,4.267334938049316,NN,0,4,2,1,3
57403313,51662,917,0.565418328452695,5.257856383889305,NNS,0,9,4,1,4
1356840,2214,23,0.4169721305370331,6.871240615844727,NN,0,5,1,0,3
1544771673,560978,164105,0.7415969967842102,3.3700389862060547,JJR,0,4,2,1,1
31344495,29529,213,0.5883462429046631,4.797130107879639,VBD,0,4,1,1,9
40364941,25704,2387,0.528054416179657,5.414906978607178,NN,0,4,1,1,3
149312237,35373,15917,0.5288981199264526,4.667800426483154,VBN,0,8,3,1,11
19061871,94325,453,0.6748495697975159,3.9262475967407227,VBD,0,4,1,0,9
173043002,534884,12092,0.7002438306808472,3.827167510986328,VBG,0,4,2,1,10
96020036,95331,2346,0.8117698431015015,3.0813348293304443,RB,0,4,2,0,5
160746244,104472,16434,0.712073802947998,4.405296802520752,NN,0,4,1,1,3
318966441,415218,57299,0.6799284219741821,3.9132585525512695,JJ,0,4,1,1,0
2247431740,1400622,165,0.7310072183609009,3.078911066055298,RB,0,2,1,0,5
337343,1510,14,0.28886035084724426,5.787774085998535,VB,0,6,3,0,8
