academic_freq,non_academic_freq,phrase,ratio
5076,18772,completely,3.698187549251379
5214,12202,the rest of,2.340237821250479
64296,311575,so,4.845946870722907
13733,35300,world,2.570450739095609
57299,91571,many,1.598125621738599
1331,6634,in and,4.984222389181067
21589,54224,end,2.511649451109361
6115,13594,early,2.223058053965658
24292,47260,they are,1.945496459739832
5418,61137,to get,11.28405315614618
16339,56136,though,3.435705979558112
30527,84571,character,2.77036721590723
12670,577804,book,45.6041041831097
7969,123578,story,15.50734094616639
6542,12924,bottom,1.975542647508407
8994,15612,close,1.735823882588392
8692,16608,longer,1.91072250345145
21165,89036,still,4.206756437514765
8196,12519,except,1.527452415812592
8907,14660,like to,1.645896485909959
7519,29346,the end,3.902912621359223
182699,298814,all,1.635553560774826
6994,13834,self,1.977981126680011
5289,12441,rest of,2.352240499149178
8271,28616,reader,3.459799298754685
5359,14036,inside,2.619145362940847
516857,1362113,this,2.635376903089249
20004,87091,now,4.35367926414717
8357,104062,little,12.45207610386502
16096,44878,real,2.788146123260437
11689,19145,the last,1.637864659081187
10568,42986,around,4.067562452687358
18169,27850,into the,1.532830645605152
14302,166510,his,11.64242763249895
203324,373424,one,1.836595778166867
20034,37665,help,1.880053908355795
6662,27661,because it,4.152056439507655
5915,9901,what is,1.673879966187658
4828,10377,personal,2.1493371996686
5808,34941,with this,6.016012396694215
18580,179768,he,9.67534983853606
7920,26601,until,3.358712121212121
4857,24288,ordered,5.000617665225448
9466,40816,try,4.311852947390661
12558,127025,too,10.11506609332696
6041,33463,it would,5.539314682999503
17775,48485,last,2.727707454289733
33942,79812,find,2.351423015732721
14452,41014,written,2.837946305009687
11566,86371,back,7.467663842296386
7467,12461,difficult to,1.668809428150529
9557,23461,how to,2.454849848278748
4778,7685,even if,1.6084135621599
11390,18968,itself,1.665320456540825
5960,53277,looking,8.939093959731544
7163,75295,but it,10.51165712690214
98942,193278,when,1.95344747427786
4551,9845,and all,2.163260821797407
14218,29266,short,2.05837670558447
12386,28357,others,2.28943968997255
14673,26278,to find,1.790908471341921
12092,73164,look,6.050611974859411
8396,12869,in all,1.532753692234397
7498,13115,not have,1.749133102160576
32050,61496,another,1.918751950078003
10235,18428,way to,1.800488519785051
11631,18944,to this,1.628750752299888
8780,32739,fine,3.72881548974943
156922,255295,at,1.626891066899479
16683,44125,page,2.644907990169634
126644,643914,but,5.084441426360507
13826,32628,place,2.359901634601476
10465,17702,that they,1.691543239369326
44635,100938,could,2.261409208020612
16518,31494,idea,1.906647293861242
5017,11992,so far,2.390273071556707
6011,21323,working,3.547329895192148
13811,39831,some of,2.884005502860039
106607,289932,they,2.719633795154164
109257,188425,will,1.724603457902011
10100,58439,down,5.786039603960396
8308,13142,otherwise,1.581848820414059
58453,226518,out,3.875215985492618
12153,28602,all of,2.353492964700074
6862,137001,her,19.96517050422617
11415,85746,want,7.511695137976347
17496,55374,long,3.164951989026063
10852,59067,but the,5.442959823074088
101850,207289,there,2.035238095238095
5287,11939,agree,2.258180442595044
5465,32581,light,5.961756633119854
8042,12185,make the,1.515170355632927
17329,36935,about the,2.131398234173928
12104,37109,did not,3.065846001321877
8789,20924,material,2.380703151666856
10975,22515,making,2.051480637813212
6380,49186,keep,7.709404388714733
6694,11999,software,1.792500746937556
11321,60342,again,5.33009451461885
6366,11849,missing,1.86129437637449
6358,10215,attention,1.606637307329349
15798,31556,done,1.997468033928345
8505,19929,if it,2.34320987654321
49621,80671,see,1.625743132947744
40771,114443,better,2.806970640896716
5567,11923,helpful,2.141728040237111
7915,12862,the quality,1.625015792798484
11232,34861,novel,3.10372150997151
34664,124972,after,3.605238864528041
11507,80612,say,7.00547492830451
10374,40946,seems,3.946982841719684
14410,25428,true,1.764607911172797
19455,41154,one of the,2.115343099460293
20588,43338,would be,2.105012628715757
7150,31916,writing,4.463776223776224
12453,65997,reading,5.299686822452421
11676,91011,know,7.794707091469681
7179,209449,me,29.17523331940382
13795,48397,out of,3.508300108735049
5501,9834,mostly,1.787674968187602
5683,36109,to see,6.353862396621503
10616,19138,easily,1.802750565184627
6842,17339,the rest,2.534200526161941
5357,12800,even though,2.389397050588016
5064,74528,old,14.7172195892575
401888,1879510,it,4.676700971414921
5534,216156,great,39.0596313697145
6326,16616,sometimes,2.626620297186216
10753,24724,most of,2.299265321305682
8118,20094,the whole,2.475240206947524
19220,259659,just,13.50983350676379
20779,59448,author,2.860965397757351
56330,132846,because,2.358352565240547
5598,13164,of course,2.351554126473741
17468,102748,did,5.882070070986948
4940,20349,and not,4.119230769230769
5578,73832,never,13.2362854069559
3,22,as to,7.333333333333333
11609,44325,interesting,3.818158325437161
11882,18579,needed,1.563625652247096
5021,7957,and more,1.584744074885481
5593,10997,is still,1.966207759699625
8522,16593,later,1.947078150668857
7112,25061,not the,3.523762654668166
10180,43954,own,4.317681728880157
8539,18465,through the,2.162431198032556
14062,26012,already,1.849807993173091
5312,12805,from this,2.410579819277109
43279,172984,this is,3.9969500219506
19740,211151,get,10.69660587639311
5566,15933,bag,2.862558390226374
84994,218049,time,2.565463444478434
21360,86138,and it,4.032677902621723
5136,24951,this is the,4.858060747663552
10694,33046,to have,3.090144005984664
7737,17420,expect,2.251518676489595
31282,60437,all the,1.932005626238732
7626,37804,on this,4.957251507998951
5038,7802,near,1.548630408892418
5048,14392,perhaps,2.851030110935024
10915,86016,go,7.880531378836464
8150,47204,play,5.791901840490797
29448,64856,through,2.202390654713393
4608,22092,poor,4.794270833333333
199640,505034,have,2.529723502304147
4692,32898,probably,7.01150895140665
65189,154056,well,2.363220788783384
5445,27919,the way,5.127456382001837
7545,12044,become,1.596288933068257
289897,611535,not,2.109490612182948
8377,17751,move,2.11901635430345
3,5,and as,1.666666666666667
12878,64199,come,4.985168504426153
5492,12267,many of,2.233612527312455
50685,77669,is not,1.532386307586071
8848,26297,believe,2.972084086799277
13129,31020,to make,2.362708507883312
8056,15239,lack,1.891633565044687
10553,62739,put,5.945134085094286
14510,37462,always,2.581805651274983
5361,10372,worse,1.934713672822235
6113,10908,these are,1.784393914608212
55700,102624,way,1.842441651705566
6659,24734,understand,3.714371527256345
10063,33763,cover,3.355162476398688
12846,32736,once,2.548341896310136
8719,34379,almost,3.942998050235119
10394,17518,and that,1.685395420434866
35045,66302,take,1.891910400913112
5100,24887,wrong,4.879803921568628
65224,100546,any,1.5415491230222
5757,23517,is one,4.084940072954664
4810,10856,any of,2.256964656964657
49642,299939,like,6.04204101365779
37758,195379,what,5.17450606493988
4801,11507,interested in,2.396792334930223
13695,74704,people,5.454837531945966
30931,53353,being,1.72490381817594
38993,188378,up,4.831072243736055
40182,67798,need,1.687272908267383
22546,53515,every,2.373591767941098
8069,12943,exactly,1.604040153674557
12235,27264,that this,2.228361258684103
1416,2409,to and,1.701271186440678
4996,33202,easy to,6.645716573258607
5939,13305,beginning,2.240276140764438
7800,37298,is very,4.781794871794872
69756,243062,would,3.48446011812604
45834,75896,should,1.655888641619758
51213,141054,them,2.754261613262257
60285,145517,do,2.413817699261839
4691,13252,much more,2.824984011937753
4954,9065,depth,1.829834477190149
6821,43740,it to,6.412549479548454
11506,663600,you,57.67425690943855
14673,38736,child,2.639950930280107
11396,17874,and is,1.568445068445068
5137,19766,seems to,3.847771072610473
11471,83382,off,7.268939063725917
15739,64789,few,4.11646229112396
15,53,pus,3.533333333333333
10901,18489,is no,1.696082928171727
165,1039,as,6.296969696969697
4,30,as the,7.5
8104,17731,past,2.187931885488648
9957,20439,better than,2.052726724917144
5174,9191,for some,1.776381909547739
8481,18106,because of,2.134889753566796
7323,49829,why,6.804451727434111
6786,23468,seem,3.458296492779251
8891,27289,some of the,3.069283545158025
102139,179171,some,1.754187920383008
20921,53002,that it,2.533435304239759
5575,14848,interested,2.663318385650224
26585,49730,right,1.870603723904458
8303,180842,read,21.78032036613272
15149,64595,review,4.263977820318173
21047,199510,had,9.479260702237848
5598,9352,none,1.670596641657735
4738,36762,would have,7.758970029548332
7205,14458,most of the,2.006662040249827
61156,225175,about,3.68197723853751
28966,76426,one of,2.638472692121798
19177,137980,who,7.195077436512489
12546,38516,quite,3.069982464530528
8742,53711,hard,6.144017387325555
20604,31184,instead,1.513492525723161
6,20,as in,3.333333333333333
11267,19810,along,1.758232004970267
6551,12008,all of the,1.833002595023661
5362,473248,my,88.25960462513987
4721,17384,will not,3.682270705359034
15944,28174,seen,1.767059708981435
10792,27114,especially,2.512416604892513
40383,70612,found,1.748557561350073
11731,24993,highly,2.130508908021481
7809,19732,rest,2.526828018952491
10399,31026,yet,2.983556111164535
12512,109634,product,8.762308184143222
7815,22574,but not,2.888547664747281
13065,42294,far,3.237198622273249
36892,127226,even,3.448606744009541
25155,75478,made,3.000516795865633
69058,167327,no,2.422992267369457
49006,130105,make,2.654878994408848
27823,64478,quality,2.317435215469216
9302,19411,up to,2.086755536443775
33024,53390,the best,1.616703003875969
32263,149134,much,4.622446765644856
6869,11322,end of,1.648274858057941
7783,13929,check,1.789669793138893
13220,30457,whole,2.303857791225416
17107,36447,to use,2.130531361430993
5836,25394,half,4.351267991775188
6283,22800,history,3.628839726245424
9523,17035,deal,1.788827050299275
4857,13315,to take,2.741404158945851
4878,20655,it will,4.234317343173432
8943,53248,easy,5.954154086995415
19421,30575,let,1.574326759693116
5387,8782,them to,1.630220902171895
3556,5754,and on,1.618110236220472
4819,12620,they have,2.61880058103341
7112,54396,ever,7.648481439820022
10292,51258,enough,4.980373105324523
12161,31634,having,2.601266343228353
9642,60115,have to,6.234702343912051
13592,30641,start,2.254340788699235
22669,44439,version,1.960342317702589
7403,43311,the only,5.850466027286235
2,7,as for,3.5
9588,19264,of them,2.009178139340843
5077,9306,the end of,1.83297222769352
5996,45158,series,7.531354236157438
8553,52877,want to,6.182275225067228
49776,271752,very,5.459498553519769
6759,20185,power,2.986388519011688
1,20,as it,20.0
4955,60052,something,12.11947527749748
6015,15942,stop,2.650374064837905
6872,16155,age,2.350844004656577
8852,39156,actually,4.423407139629462
15312,27653,together,1.805969174503657
10311,19097,have the,1.852099699350209
7355,30714,to do,4.175934738273283
5630,10501,cat,1.865186500888099
5100,100823,think,19.76921568627451
10996,28123,man,2.557566387777374
4688,8964,also the,1.912116040955631
63036,111441,how,1.767894536455359
6062,117988,she,19.46354338502145
20996,61262,before,2.91779386549819
4726,9873,if they,2.089081675835802
10065,27894,style,2.771385991058122
5631,13149,forward,2.335109216835376
8624,14605,it is not,1.693529684601113
5049,8354,themselves,1.654585066349772
1,3,as in the,3.0
25987,272436,good,10.48354946704121
9030,25312,the time,2.803100775193799
15591,116205,year,7.453338464498749
9465,24621,hold,2.601267828843106
5582,9083,background,1.627194553923325
30897,68209,give,2.207625335793119
5288,34410,said,6.507186081694402
5219,9443,running,1.809350450277831
98508,192090,it is,1.949993909124132
120496,314510,if,2.610128137033595
